,name,artist,artist_id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,analysis_url,genre
0,Haegeum,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.313,0.697,168927,0.837,0.0,0.471,-2.651,1,0.304,85.097,5,0.831,https://api.spotify.com/v1/audio-analysis/4bjN59DRXFRxBE1g5ne6B1,{'k-rap'}
1,Daechwita,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.0229,0.65,225668,0.827,0.0,0.121,-4.014,1,0.0599,144.995,4,0.223,https://api.spotify.com/v1/audio-analysis/0JKGe340YJwfDrpXqPQ8sw,{'k-rap'}
2,People Pt.2 (feat. IU),Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.391,0.729,213995,0.574,0.0,0.319,-4.779,0,0.0589,88.94,4,0.438,https://api.spotify.com/v1/audio-analysis/41JPN7pZMTp1sumBOHOzHd,{'k-rap'}
3,Interlude : Dawn,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.898,0.188,105140,0.309,0.771,0.0621,-10.564,0,0.0287,90.687,4,0.0677,https://api.spotify.com/v1/audio-analysis/56tf3cHQkwmvoplotk5QXd,{'k-rap'}
4,D-Day,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.294,0.59,211373,0.878,0.0,0.0959,-3.199,0,0.266,139.934,5,0.699,https://api.spotify.com/v1/audio-analysis/22W6wI4hDTjMAYKKBQW9dU,{'k-rap'}
5,AMYGDALA,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.226,0.311,251533,0.769,0.0,0.105,-4.637,1,0.0553,78.265,4,0.16,https://api.spotify.com/v1/audio-analysis/5fj32MKLHkut2Vod1UodcU,{'k-rap'}
6,People,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.0616,0.76,197001,0.682,0.0,0.118,-6.441,1,0.0371,120.008,4,0.372,https://api.spotify.com/v1/audio-analysis/6HDHaCnH2FCSdEwXrJfEVF,{'k-rap'}
7,"Snooze (feat. Ryuichi Sakamoto, WOOSUNG of The Rose)",Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.21,0.761,264761,0.777,0.0,0.0771,-4.68,0,0.0941,89.959,4,0.377,https://api.spotify.com/v1/audio-analysis/4j3M8NrbGSXdMPwEVsnfHE,{'k-rap'}
8,Life Goes On,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.0345,0.439,197639,0.733,0.0,0.292,-6.471,1,0.0773,162.125,4,0.615,https://api.spotify.com/v1/audio-analysis/7gv3UYPh05ZDP7Io5BIsn7,{'k-rap'}
9,HUH?! (feat. j-hope),Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0.207,0.763,183290,0.806,0.0,0.229,-2.785,1,0.302,139.911,4,0.522,https://api.spotify.com/v1/audio-analysis/6XrPzwKeGzEvtan3acn7VH,{'k-rap'}
10,EENIE MEENIE (Feat. Hongjoong of ATEEZ),CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.176,0.819,170067,0.719,0.0,0.0558,-4.187,1,0.198,99.892,4,0.703,https://api.spotify.com/v1/audio-analysis/3WFTUAPrXvqg3SXC0bsukz,{'k-pop'}
11,I’m Ready,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.0272,0.717,192773,0.882,0.0,0.0892,-3.621,1,0.163,125.07,4,0.511,https://api.spotify.com/v1/audio-analysis/1uHAvl4MdI8zbobFG9FueP,{'k-pop'}
12,Gotta Go,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.0741,0.531,221813,0.83,0.0,0.0993,-2.526,0,0.0446,101.903,4,0.419,https://api.spotify.com/v1/audio-analysis/1exnDFdC34GyBcaLt9ZJfX,{'k-pop'}
13,Roller Coaster,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.317,0.633,212136,0.907,0.0,0.221,-1.459,0,0.048,130.001,4,0.74,https://api.spotify.com/v1/audio-analysis/6DIW7GJbuGZdHolRcPWprP,{'k-pop'}
14,Snapping,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.0706,0.746,213164,0.726,3.43e-06,0.278,-3.499,0,0.0394,104.961,4,0.578,https://api.spotify.com/v1/audio-analysis/4IOxk5ep5ONrdlL0ZIy64v,{'k-pop'}
15,When I Get Old,Christopher,3zDRCqOhJXJfS2YWOEwGMC,0.257,0.723,184828,0.641,0.0,0.203,-4.17,0,0.0315,127.418,4,0.658,https://api.spotify.com/v1/audio-analysis/5f2CcxzZoW7hNs1O8NhG6y,{'danish pop'}
16,Killing Me,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.35,0.722,164053,0.851,0.0,0.0661,-2.589,1,0.264,122.012,4,0.763,https://api.spotify.com/v1/audio-analysis/3QD0Y1tTngihByjdWC99lG,{'k-pop'}
17,Dream of You (with R3hab),CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.0336,0.658,192735,0.728,1.76e-06,0.114,-3.895,0,0.0651,117.088,4,0.615,https://api.spotify.com/v1/audio-analysis/5avjngfV5MZAmEVPytbMqT,{'k-pop'}
18,Stay Tonight,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.201,0.624,217239,0.833,0.000498,0.0812,-2.17,0,0.0551,121.035,4,0.522,https://api.spotify.com/v1/audio-analysis/5KRY2UxuFPXmQNMmKwj5aW,{'k-pop'}
19,Bicycle,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,0.00582,0.634,179156,0.901,0.0,0.247,-2.519,0,0.0577,146.006,4,0.804,https://api.spotify.com/v1/audio-analysis/1KcazK9joq1rbdQUlr4NBj,{'k-pop'}
20,28 Reasons,SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.211,0.766,189413,0.651,2.51e-06,0.144,-3.546,0,0.0952,121.995,4,0.488,https://api.spotify.com/v1/audio-analysis/1dfsPqH09vnzUWEOsN98Ex,{'k-pop'}
21,Anywhere But Home,SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.345,0.698,201093,0.798,1.47e-06,0.377,-2.583,1,0.0825,117.051,4,0.528,https://api.spotify.com/v1/audio-analysis/7vRodvsF37NGUYRSVMIRXj,{'k-pop'}
22,In my memory,SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.651,0.457,205133,0.739,0.0,0.113,-2.879,1,0.0391,85.026,4,0.546,https://api.spotify.com/v1/audio-analysis/0f1dv8Dp9wZGkiYgkjIJnj,{'k-pop'}
23,Hot & Cold,KAI,6iVo62B0bdTknRcrktCmak,0.0453,0.736,207173,0.769,0.000227,0.163,-5.287,1,0.258,104.094,4,0.863,https://api.spotify.com/v1/audio-analysis/1oy2B6xsqSwCRBBynYtaUl,{'k-pop'}
24,Wow Thing,SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.115,0.703,171998,0.894,0.0,0.363,-3.52,0,0.281,104.043,4,0.737,https://api.spotify.com/v1/audio-analysis/5MwfxCtqMFGYp9Nc1BkTrS,{'k-pop'}
25,Dead Man Runnin’,SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.216,0.54,199320,0.744,0.0,0.116,-2.605,1,0.0617,150.021,4,0.299,https://api.spotify.com/v1/audio-analysis/5eFGkCXi83auDi0bcDBEKD,{'k-pop'}
26,"Bad Boy, Sad Girl",SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.348,0.752,177067,0.632,0.0,0.111,-3.52,1,0.0947,148.01,4,0.644,https://api.spotify.com/v1/audio-analysis/4K08CJWZXj85wkMIvCrVFg,{'k-pop'}
27,Los Angeles,SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.129,0.741,222667,0.727,0.00448,0.11,-6.658,1,0.0344,118.942,4,0.397,https://api.spotify.com/v1/audio-analysis/567IUuKvajZzMJPiLEzci4,{'k-pop'}
28,Crown,SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0.443,0.604,195813,0.58,0.000337,0.164,-5.119,0,0.0703,86.015,4,0.34,https://api.spotify.com/v1/audio-analysis/4Y0EawuG8OtyYNyJulWnDu,{'k-pop'}
29,Only You,WENDY,0FRUZvZNPzM3YJMABJxf2K,0.204,0.75,198173,0.846,1.21e-05,0.381,-3.206,1,0.0358,99.975,4,0.669,https://api.spotify.com/v1/audio-analysis/3gYSjwe2AvcfIlbAVIAf9G,"{'k-pop', 'korean pop'}"
30,Heart Attack (츄),LOONA,52zMTJCKluDlFwMQWmccY7,0.0524,0.663,194941,0.857,0.0,0.591,-3.457,1,0.0581,99.014,4,0.75,https://api.spotify.com/v1/audio-analysis/6SSC9KZQaxBdyipKRigrFC,"{'k-pop', 'k-pop girl group'}"
31,PTT (Paint The Town),LOONA,52zMTJCKluDlFwMQWmccY7,0.0735,0.781,201120,0.814,1.92e-05,0.0565,-2.437,1,0.1,124.028,4,0.546,https://api.spotify.com/v1/audio-analysis/5awNIWVrh2ISfvPd5IUZNh,"{'k-pop', 'k-pop girl group'}"
32,Hi High,LOONA,52zMTJCKluDlFwMQWmccY7,0.0349,0.671,196801,0.918,9.59e-06,0.215,-2.267,0,0.0615,97.005,4,0.543,https://api.spotify.com/v1/audio-analysis/4EMAaWwu2zXTkXIA6YPKkt,"{'k-pop', 'k-pop girl group'}"
33,Why Not?,LOONA,52zMTJCKluDlFwMQWmccY7,0.0999,0.806,205520,0.934,0.00096,0.0618,-0.837,1,0.122,128.016,4,0.431,https://api.spotify.com/v1/audio-analysis/6gDWKVUuk9P01YTNow2kiP,"{'k-pop', 'k-pop girl group'}"
34,Butterfly,LOONA,52zMTJCKluDlFwMQWmccY7,0.034,0.582,237707,0.849,0.000138,0.119,-4.153,0,0.0414,107.004,4,0.355,https://api.spotify.com/v1/audio-analysis/6wNKKoUQfLPmch7cqSFytV,"{'k-pop', 'k-pop girl group'}"
